Rice 米飯
Congee 粥
Noodle 麵類
SteamedBun 饅頭
Oatmeal 燕麥片
Bun 餐包
Toast 吐司
Pork 豬肉
PorkProducts 豬肉製品
Chicken 雞肉
Beef 牛肉
Mutton 羊肉
Duck 鴨肉
Apple 蘋果
Banana 香蕉
Guava 芭樂
Pineapple 鳳梨
Pear 水梨
Watermelon 西瓜
Orange 柳橙
Pitaya 火龍果
CherryTomato 小番茄
Papaya 木瓜
Mango 芒果
WaxApple 蓮霧
Grape 葡萄
Kiwi 奇異果
Shaddock 柚子
Melon 香瓜
Cherry 櫻桃
PassionFruit 百香果
Strawberry 草莓
Lychee 荔枝
Peach 水蜜桃
SugarApple 釋迦
Blueberry 藍莓
Avocado 酪梨
WaterSpinach 空心菜
BokChoy 青江菜
Lettuce 美生菜
GreenPepper 青椒
SweetPepper 彩椒
WhiteWaterSnowflake 水蓮
Cabbage 高麗菜
Onions 洋蔥
BeanSprouts 豆芽菜
Radish 白蘿蔔
ChineseCabbage 大白菜
BabyChineseCabbage 娃娃菜
BabyCorn 玉米筍
Celery 西洋芹
Asparagus 蘆筍
Cucumber 胡瓜
SpongeGourd 絲瓜
Tomatoes 大番茄
Eggplant 茄子
WaxGourd 冬瓜
BitterGourd 苦瓜
Zucchini 櫛瓜
Cauliflower 花椰菜
Corn 玉米
Potato 馬鈴薯
SweetPotato 地瓜
Pumpkin 南瓜
Taro 芋頭
ChineseYam 山藥
LotusRoot 蓮藕
WaterCaltrop 菱角
Carrots 紅蘿蔔
MungBeans 綠豆
RedBeans 紅豆
Chestnut 栗子
Pea 荷蘭豆
Peanut 花生
Cashew 腰果
SunflowerSeed 葵瓜子
Almond 杏仁果
MelonSeed 瓜子
Pistachio 開心果
EnokiMushrooms 金針菇
ShiitakeMushrooms 香菇
KingOysterMushrooms 杏鮑菇
Agaric 木耳
Mushrooms 洋菇
Bunashimeji 鴻喜菇
Fish 魚類
Shellfish 貝類
Shrimp 蝦
OtherSeafoods 其他海鮮
Egg 雞蛋
Tofu 豆腐
HardBeanCurd 豆干
SoybeanProducts 豆製品
